PodcastName,Epizoda,EpisodeUUID,Měsíc,RedCircle_Downloads,PodcastUUID
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,4d724f75-6b49-4706-8c32-604fc159c5b3,2025-10,71,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,361531d8-7725-4374-9e32-8609fcf19552,2025-10,70,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,8d8f31a9-7e24-4067-8a1a-046c01625b58,2025-10,68,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Od Královce ke Kaliningradu,feca4c44-09bc-4dba-9eaf-0bad07b103dd,2025-10,65,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,9b4403cb-9d3e-4464-a8bd-b42a0d694fa4,2025-10,57,c017c8f2-b93f-4d3c-89f9-1dfa9ae7e8b2
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 1: Tři mrtvoly ve sklepě,a5e59038-113b-4d48-9f85-df2b6c4a90c8,2025-10,26,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Hanuš Hackenschmied – U ledové víly | Kapitola 1: O třech princeznách v Modré hoře,709bd8f6-bfbc-4ba8-bae0-ced600ea2610,2025-10,21,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 6: Zahrady za Koňskou branou,21d5add2-7431-462c-93e0-445c91e23672,2025-10,18,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 7: O Valdštejnském paláci,79301095-8b86-42a9-a7c2-bf3990326908,2025-10,16,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 8: Pražské Jezulátko,4b0d2be4-d298-4fe5-9900-e80f44d44585,2025-10,15,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 4: Pověsti o Staronové škole,10757da8-7045-403d-8b24-6b81fb482289,2025-10,13,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 9: Paladium země České,c0f099d5-6c21-4f2f-adbf-3cf6756c52f4,2025-10,13,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Poláček – Čtrnáct dní na vojně | Část 1.,054991e3-4785-4325-8c61-53b612553b0b,2025-10,12,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Josef Mach – Tři mrtvoly ve sklepě a jiné | Povídka 4: Ze zašlých dob,423bd5b1-1d39-4c84-ba7e-898e75834376,2025-10,11,122228e9-4fc6-4674-b257-cf90262939ea
Nová vlna,Karel Hádek – Čtení o staré Praze | Kapitola 5: Barvířský ostrov,8da482a1-6471-473a-8d9e-39a8691201de,2025-10,10,122228e9-4fc6-4674-b257-cf90262939ea
