PodcastName,Epizoda,Datum_publikování,YouTube_Zhlédnutí,RedCircle_Downloads,Celkové_využití
Virtuální realita,Jak virtuální realita pomáhá seniorům i pečovatelům | 10. díl,,133,0,133
Kouzelný stůl,Kouzelný stůl 1. díl | Restaurování barokní kuchyně Bellarie,,513,0,513
Kouzelný stůl,Kouzelný stůl 2. díl | Experimenty v barokní kuchyni,,924,0,924
Kouzelný stůl,Kouzelný stůl 3. díl | Conrad Hagger ornamentální paštiky a dekorativní marcipán,,255,0,255
Kouzelný stůl,Kouzelný stůl 4. díl | Znovuzrození kouzelného stolu – jak jsme oživili barokní mechanismus,,233,0,233
Virtuální realita,MLP HUB: Virtuální knihovna v Praze ve VRChat,,186,0,186
Mariánská listování,Mariánská listování s Ester Pavlů - 15. díl,,145,0,145
Mariánská listování,Mariánská listování se Zdeňkem Juráskem: 250 let USA a 100 let Route 66 – 16. díl,,156,0,156
Virtuální realita,Rehabilitace ve virtuální realitě,,123,0,123
Virtuální realita,VR Quide me - objevte historii Prahy od minulosti až po součastnost I 12. díl,,107,0,107
Virtuální realita,Virtuální město: trénink paměti a kognitivních funkcí pro seniory,,211,0,211
Virtuální realita,Virtuální realita a prevence kriminality – Missing 10 Hours,,221,0,221
Virtuální realita,Virtuální realita v tréninku náročné komunikace,,168,0,168
Virtuální realita,"Virtuální realita z pohledu kulturní antropologie, Korea ve VR",,225,0,225
Virtuální realita,"Virtuální realita, film a knihovny – Ondřej Moravec | Díl 9",,124,0,124
Virtuální realita,Virtuální realita: KineDok a dokumentární film | 11. díl,,102,0,102
Virtuální realita,Virtuální realita: Open Brush – malování v 3D prostoru,,224,0,224
Virtuální realita,Visiolibrum – Umění ve virtuální galerii,,353,0,353
Historie mezi řádky,Byl Adolf Hitler komunista?,2025-11-07,398,342,740
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? I. část,2022-07-21,0,602,602
Historie mezi řádky,Edvard Beneš – padouch nebo hrdina? II. část,2022-08-04,0,422,422
Historie mezi řádky,Generál Josef Šnejdárek - velitel senegalských lidojedů,2022-10-06,0,379,379
Historie mezi řádky,Hitlerova cesta k moci - i Hitlera si zvolili demokraticky,2022-11-03,34,685,719
Historie mezi řádky,Kudy povedou hranice republiky?,2022-10-20,0,388,388
Historie mezi řádky,Nacistická propaganda v ČSR,2025-11-12,97,255,352
Historie mezi řádky,Od Královce ke Kaliningradu,2022-09-01,0,360,360
Historie mezi řádky,Poslední svobodné volby,2025-11-14,71,260,331
Historie mezi řádky,Samostatná Ukrajina,2025-11-15,89,418,507
Historie mezi řádky,Temná druhá republika,2025-11-13,64,288,352
Historie mezi řádky,Československá kolonie Togo – mýtus nebo skutečnost?,2022-08-18,0,393,393
Historie mezi řádky,Čeští Němci v roce 1918,2022-09-29,0,448,448
Historie mezi řádky,Španělská občanská válka,2022-09-15,0,644,644
Komiksové studio,Komiksové studio #1 s Guyem Delislem,2026-04-21,704,8,712
Komiksové studio,Komiksové studio #2  se Štěpánkou Jislovou,2026-04-21,530,9,539
Komiksové studio,Komiksové studio #3 s Branko Jelinkem,2026-04-29,350,8,358
Mariánská listování,Mariánská listovaní s Kristýnou Kůstkovou - 1. díl,2025-06-24,0,48,48
Mariánská listování,Mariánská listování  s Dušanem Neumannem - 11. díl,2026-05-07,188,7,195
Mariánská listování,Mariánská listování s Evou Chodějovskou - 4.díl,2025-10-28,105,22,127
Mariánská listování,Mariánská listování s Helenou Koenigsmarkovou - 12. díl,2026-04-09,92,8,100
Mariánská listování,Mariánská listování s Helenou Koutnou - 2. díl,2025-07-15,388,48,436
Mariánská listování,Mariánská listování s Ivanem Pušem - 13.díl,2026-04-09,145,13,158
Mariánská listování,Mariánská listování s Ivanou Bozděchovou - 3.díl,2025-07-15,325,62,387
Mariánská listování,Mariánská listování s Janem Smigmatorem - 7. díl,2025-10-30,122,20,142
Mariánská listování,Mariánská listování s Michalem Brožou - 10. díl,2026-01-21,141,34,175
Mariánská listování,Mariánská listování s Pavlem Suchanem - 8. díl,2025-10-31,172,37,209
Mariánská listování,Mariánská listování s Rudym Linkou - 6. díl,2026-05-07,231,7,238
Mariánská listování,Mariánská listování s manželi Tichotovými - 9. díl,2025-12-08,516,25,541
Mariánská listování,Mariánská listování se Zdeňkem Pokludou - 14. díl,2026-05-04,128,7,135
Mariánská listování,Mariánská listování: Česká škola v Chicagu - 5. díl,2025-10-29,232,24,256
Nová vlna,Algoritmus kávy – Petr Šimeček | Z-ai-mavý spisovatel,2026-02-15,175,21,196
Nová vlna,Domovní důvěrník 2.0 – Jiří Krišpin | Z-ai-mavý spisovatel,2026-02-08,67,27,94
